id,decision_at,enrolled_at,status,action_by_id,course_id,student_id
4,,2025-08-06 21:48:46.871429,PENDING,,46,107
2,2025-08-06 21:50:42.487911,2025-08-06 21:47:52.614501,APPROVED,77,38,107
6,2025-08-06 21:50:44.466435,2025-08-06 21:50:05.637999,APPROVED,77,38,60
3,2025-08-06 22:10:19.800362,2025-08-06 21:48:04.65674,APPROVED,78,47,107
7,2025-08-07 12:21:01.511329,2025-08-07 12:19:56.264965,APPROVED,77,38,3
