id,created_at,reaction_type,post_id,user_id
2,2025-08-07 08:15:04.51675,LIKE,1,77
4,2025-08-07 08:15:52.904596,LIKE,2,107
5,2025-08-07 08:18:09.183516,LIKE,3,107
6,2025-08-07 08:18:27.933695,LIKE,3,77
7,2025-08-07 08:19:51.239234,HELPFUL,4,107
8,2025-08-07 08:20:13.532411,LIKE,4,60
