id,created_at,description,is_active,is_pinned,resource_name,title,updated_at,assignment_id,course_id,created_by,resource_id
1,2025-08-07 08:12:44.79968,"",t,f,"",Discussion On Priority Encoder,2025-08-07 08:39:10.522531,1,38,77,
2,2025-08-07 09:33:19.279355,"",t,t,"",Discussion On Vending Machine,2025-08-07 09:36:16.066683,4,38,4,
